,PE_trailing,PE_forward,PB,ROE,ROA,ProfitMargin,EarningsGrowth,RevenueGrowth,DivYield,DivYield_Trailing,Beta,AUM,ETF_Yield,Price,BookValue
SPY,28.197575,,1.6569824,,,,,,1.14,0.008041699,,651588272128.0,0.0114,,429.22
IWB,27.642624,,1.6117638,,,,,,1.06,0.0074867834,,42777825280.0,0.0106,,241.76
IWD,22.25512,,1.4960412,,,,,,1.67,0.0116217295,,69788860416.0,0.0167,,151.433
IWF,35.90556,,1.9702692,,,,,,0.4,0.0032275177,,111773540352.0,0.004,,243.048
IWM,20.016005,,1.2642323,,,,,,1.02,0.0073476373,,71915577344.0,0.010199999,,218.694
IWN,16.52775,,1.2959437,,,,,,1.63,0.01000146,,12460733440.0,0.0163,,159.135
IWO,25.19636,,1.1944127,,,,,,0.48,0.0033090406,,12166946816.0,0.0047999998,,300.181
IJH,22.36762,,0.2792117,,,,,,1.32,0.03852167,,106048217088.0,0.013200001,,260.161
IJJ,18.022013,,1.3858333,,,,,,1.77,0.009974587,,7981533184.0,0.0177,,101.816
XLK,37.579174,,1.0584848,,,,,,0.57,0.00713039,,84198424576.0,0.0057,,149.355
XLF,17.60875,,1.5348209,,,,,,1.6,0.011089866,,47790944256.0,0.016,,34.017
XLV,25.786451,,1.1502798,,,,,,1.71,0.012404057,,38603882496.0,0.0171,,127.256
XLE,21.793686,,1.0849084,,,,,,2.44,0.03866118,,43603132416.0,0.024400001,,52.115
XLI,30.82886,,1.7385293,,,,,,1.27,0.007232851,,28334837760.0,0.0127,,98.382
XLY,32.07207,,0.70795876,,,,,,0.82,0.009834412,,21445781504.0,0.0082,,167.99
XLP,25.8526,,1.2043651,,,,,,2.65,0.021138808,,15480581120.0,0.026500002,,68.177
XLU,22.015314,,0.7012033,,,,,,2.59,0.043381535,,24418902016.0,0.025899999,,63.99
XLB,27.085096,,0.6551306,,,,,,1.75,0.026849527,,6540082688.0,0.0175,,79.114
SHY,3750.909,,0.95684236,,,,,,3.75,0.0037948592,,24748150784.0,0.0375,,86.242
IEF,,,0.8153092,,,,,,3.82,0.009788305,,48925843456.0,0.0382,,117.158
TLT,,-4337.0,0.5826755,,,,,,4.49,0.024858495,,42618560512.0,0.044899996,,148.865
LQD,33.208347,,0.8118998,,,,,,4.52,0.029112307,,28883736576.0,0.0452,,135.263
AGG,127.05357,,0.8632015,,,,,,3.93,0.02493214,,138698178560.0,0.039300002,,115.396
TIP,12.515731,,0.88902193,,,,,,3.45,0.011238986,,13898044416.0,0.0345,,125.295
IYR,29.282457,,0.9825613,,,,,,2.38,0.018344011,,3970679040.0,0.0238,,102.416
VNQ,31.799892,,1.6252277,,,,,,3.93,0.03498059,,64663887872.0,0.039300002,,58.158
GLD,,,2.560097,,,,,,0.0,0.0,,155110817792.0,0.0,,170.017
IAU,,,2.5765543,,,,,,0.0,0.0,,70519357440.0,0.0,,34.616
USO,39.152798,,1.8727295,,,,,,0.0,0.0,,2644515072.0,0.0,,69.097
